name,party
Andy Billig,D
John Braun,R
Sharon Brown,R
Reuven Carlyle,D
Annette Cleveland,D
Steve Conway,D
Mona Das,D
Manka Dhingra,D
Perry Dozier,R
Phil Fortunato,R
David Frockt,D
Chris Gildon,R
Bob Hasegawa,D
Brad Hawkins,R
Jeff Holy,R
Jim Honeyford,R
Sam Hunt,D
Karen Keiser,D
Curtis King,R
Patty Kuderer,D
Marko Liias,D
Liz Lovelett,D
John Lovick,D
Jim McCune,R
Mark Mullet,D
Ron Muzzall,R
Joe Nguyen,D
T'wina Nobles,D
Mike Padden,R
Jamie Pedersen,D
Emily Randall,D
Ann Rivers,R
June Robinson,D
Christine Rolfes,D
Rebecca Saldaña,D
Jesse Salomon,D
Mark Schoesler,R
Simon Sefzik,R
Tim Sheldon,D
Shelly Short,R
Derek Stanford,D
Yasmin Trudeau,D
Kevin Van De Wege,D
Keith Wagoner,R
Judy Warnick,R
Lisa Wellman,D
Claire Wilson,D
Jeff Wilson,R
Lynda Wilson,R
