"Peter Abbarno","R"
"Andrew Barkis","R"
"Jessica Bateman","D"
"April Berg","D"
"Steve Bergquist","D"
"Liz Berry","D"
"Matt Boehnke","R"
"Dan Bronoske","D"
"Michelle Caldier","R"
"Lisa Callan","D"
"Kelly Chambers","R"
"Bruce Chandler","R"
"Mike Chapman","D"
"Rob Chase","R"
"Frank Chopp","D"
"Eileen Cody","D"
"Chris Corry","R"
"Lauren Davis","D"
"Tom Dent","R"
"Laurie Dolan","D"
"Brandy Donaghy","D"
"Davina Duerr","D"
"Jeremie Dufault","R"
"Mary Dye","R"
"Debra Entenman","D"
"Carolyn Eslick","R"
"Jake Fey","D"
"Joe Fitzgibbon","D"
"Noel Frame","D"
"Greg Gilday","R"
"Keith Goehner","R"
"Roger Goodman","D"
"Jenny Graham","R"
"Mia Gregerson","D"
"Dan Griffey","R"
"David Hackney","D"
"Drew Hansen","D"
"Paul Harris","R"
"Kirsten Harris-Talley","D"
"Larry Hoff","R"
"Cyndy Jacobsen","R"
"Laurie Jinkins","D"
"Jesse Johnson","D"
"Steve Kirby","D"
"Mark Klicker","R"
"Brad Klippert","R"
"Shelley Kloba","D"
"Vicki Kraft","R"
"Joel Kretz","R"
"Mari Leavitt","D"
"Debra Lekanoff","D"
"Drew MacEwen","R"
"Nicole Macri","D"
"Jacquelin Maycumber","R"
"Bob McCaslin","R"
"Joel McEntire","R"
"Melanie Morgan","D"
"Gina Mosbrucker","R"
"Ed Orcutt","R"
"Timm Ormsby","D"
"Lillian Ortiz-Self","D"
"Tina Orwall","D"
"Dave Paul","D"
"Strom Peterson","D"
"Gerry Pollet","D"
"Alex Ramel","D"
"Bill Ramos","D"
"Marcus Riccelli","D"
"Eric Robertson","R"
"Skyler Rude","R"
"Alicia Rule","D"
"Cindy Ryu","D"
"Sharon Tomiko Santos","D"
"Joe Schmick","R"
"Mike Sells","D"
"Tana Senn","D"
"Sharon Shewmake","D"
"Tarra Simmons","D"
"Vandana Slatter","D"
"Larry Springer","D"
"Mike Steele","R"
"Drew Stokesbary","R"
"Monica Jurado Stonier","D"
"Pat Sullivan","D"
"Robert Sutherland","R"
"Jamila Taylor","D"
"My-Linh Thai","D"
"Steve Tharinger","D"
"Javier Valdez","D"
"Brandon Vick","R"
"Mike Volz","R"
"Amy Walen","D"
"Jim Walsh","R"
"Emily Wicks","D"
"J.T. Wilcox","R"
"Sharon Wylie","D"
"Alex Ybarra","R"
"Jesse Young","R"
